Verb – PA'AL<br>AP-ms<br>to write	Verb – PA'AL<br>כּוֹתֵב<br>kot<b>e</b>v
Verb – PA'AL<br>PERF-2mp<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>עֲמַדְתֶּם<br>amadet<b>e</b>m
Verb – PA'AL<br>PERF-2fp<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>עֲמַדְתֶּן<br>amadet<b>e</b>n
Verb – PA'AL<br>PERF-3ms<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>עָמַד<br>am<b>a</b>d
Verb – PA'AL<br>PERF-3fs<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>עָמְדָה<br>amd<b>a</b>
Verb – PA'AL<br>PERF-3p<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>עָמְדוּ<br>amd<b>u</b>
Verb – PA'AL<br>IMPF-1s<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>אֶעֱמֹד ~ אעמוד<br>e'em<b>o</b>d
Verb – PA'AL<br>IMPF-1p<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>נַעֲמֹד ~ נעמוד<br>na'am<b>o</b>d
Verb – PA'AL<br>IMPF-2ms<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>תַּעֲמֹד ~ תעמוד<br>ta'am<b>o</b>d
Verb – PA'AL<br>IMPF-2fs<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>תַּעַמְדִי<br>ta'amd<b>i</b>
Verb – PA'AL<br>IMPF-2mp<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>תַּעַמְדוּ<br>ta'amd<b>u</b>
Verb – PA'AL<br>IMPF-2fp<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>תַּעֲמֹדְנָה ~ תעמודנה<br>ta'am<b>o</b>dna
Verb – PA'AL<br>IMPF-3ms<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>יַעֲמֹד ~ יעמוד<br>ya'am<b>o</b>d
Verb – PA'AL<br>IMPF-3fs<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>תַּעֲמֹד ~ תעמוד<br>ta'am<b>o</b>d
Verb – PA'AL<br>IMPF-3mp<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>יַעַמְדוּ<br>ya'amd<b>u</b>
Verb – PA'AL<br>IMPF-3fp<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>תַּעֲמֹדְנָה ~ תעמודנה<br>ta'am<b>o</b>dna
Verb – PA'AL<br>IMP-2ms<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>עֲמֹד!‏ ~ עמוד!‏<br>am<b>o</b>d!
Verb – PA'AL<br>IMP-2fs<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>עִמְדִי!‏<br>imd<b>i</b>!
Verb – PA'AL<br>IMP-2mp<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>עִמְדוּ!‏<br>imd<b>u</b>!
Verb – PA'AL<br>IMP-2fp<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>עֲמֹדְנָה!‏ ~ עמודנה!‏<br>am<b>o</b>dna!
Verb – PA'AL<br>INF-L<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>לַעֲמֹד ~ לעמוד<br>la'am<b>o</b>d
Verb – PA'AL<br>AP-ms<br>to sit, to settle	Verb – PA'AL<br>יוֹשֵׁב<br>yosh<b>e</b>v
Verb – PA'AL<br>AP-fs<br>to sit, to settle	Verb – PA'AL<br>יוֹשֶׁבֶת<br>yosh<b>e</b>vet
Verb – PA'AL<br>AP-mp<br>to sit, to settle	Verb – PA'AL<br>יוֹשְׁבִים<br>yoshv<b>i</b>m
Verb – PA'AL<br>AP-fp<br>to sit, to settle	Verb – PA'AL<br>יוֹשְׁבוֹת<br>yoshv<b>o</b>t
Verb – PA'AL<br>PERF-1s<br>to sit, to settle	Verb – PA'AL<br>יָשַׁבְתִּי<br>yash<b>a</b>vti
Verb – PA'AL<br>PERF-1p<br>to sit, to settle	Verb – PA'AL<br>יָשַׁבְנוּ<br>yash<b>a</b>vnu
Verb – PA'AL<br>PERF-2ms<br>to sit, to settle	Verb – PA'AL<br>יָשַׁבְתָּ<br>yash<b>a</b>vta
Verb – PA'AL<br>PERF-2fs<br>to sit, to settle	Verb – PA'AL<br>יָשַׁבְתְּ<br>yash<b>a</b>vt
Verb – PA'AL<br>PERF-2mp<br>to sit, to settle	Verb – PA'AL<br>יְשַׁבְתֶּם<br>yeshavt<b>e</b>m
Verb – PA'AL<br>PERF-2fp<br>to sit, to settle	Verb – PA'AL<br>יְשַׁבְתֶּן<br>yeshavt<b>e</b>n
Verb – PA'AL<br>PERF-3ms<br>to sit, to settle	Verb – PA'AL<br>יָשַׁב<br>yash<b>a</b>v
Verb – PA'AL<br>PERF-3fs<br>to sit, to settle	Verb – PA'AL<br>יָשְׁבָה<br>yashv<b>a</b>
Verb – PA'AL<br>PERF-3p<br>to sit, to settle	Verb – PA'AL<br>יָשְׁבוּ<br>yashv<b>u</b>
Verb – PA'AL<br>IMPF-1s<br>to sit, to settle	Verb – PA'AL<br>אֵשֵׁב<br>esh<b>e</b>v
Verb – PA'AL<br>IMPF-1p<br>to sit, to settle	Verb – PA'AL<br>נֵשֵׁב<br>nesh<b>e</b>v
Verb – PA'AL<br>IMPF-2ms<br>to sit, to settle	Verb – PA'AL<br>תֵּשֵׁב<br>tesh<b>e</b>v
Verb – PA'AL<br>IMPF-2fs<br>to sit, to settle	Verb – PA'AL<br>תֵּשְׁבִי<br>teshv<b>i</b>
Verb – PA'AL<br>IMPF-2mp<br>to sit, to settle	Verb – PA'AL<br>תֵּשְׁבוּ<br>teshv<b>u</b>
Verb – PA'AL<br>IMPF-2fp<br>to sit, to settle	Verb – PA'AL<br>תֵּשַׁבְנָה<br>tesh<b>a</b>vnaתֵּשֵׁבְנָה<br>tesh<b>e</b>vna
Verb – PA'AL<br>IMPF-3ms<br>to sit, to settle	Verb – PA'AL<br>יֵשֵׁב<br>yesh<b>e</b>v
Verb – PA'AL<br>IMPF-3fs<br>to sit, to settle	Verb – PA'AL<br>תֵּשֵׁב<br>tesh<b>e</b>v
Verb – PA'AL<br>IMPF-3mp<br>to sit, to settle	Verb – PA'AL<br>יֵשְׁבוּ<br>yeshv<b>u</b>
Verb – PA'AL<br>IMPF-3fp<br>to sit, to settle	Verb – PA'AL<br>תֵּשַׁבְנָה<br>tesh<b>a</b>vnaתֵּשֵׁבְנָה<br>tesh<b>e</b>vna
Verb – PA'AL<br>IMP-2ms<br>to sit, to settle	Verb – PA'AL<br>שֵׁב!‏<br>sh<b>e</b>v!
Verb – PA'AL<br>IMP-2fs<br>to sit, to settle	Verb – PA'AL<br>שְׁבִי!‏<br>shv<b>i</b>!
Verb – PA'AL<br>IMP-2mp<br>to sit, to settle	Verb – PA'AL<br>שְׁבוּ!‏<br>shv<b>u</b>!
Verb – PA'AL<br>IMP-2fp<br>to sit, to settle	Verb – PA'AL<br>שֵׁבְנָה!‏<br>sh<b>e</b>vna!
Verb – PA'AL<br>INF-L<br>to sit, to settle	Verb – PA'AL<br>לָשֶׁבֶת<br>lash<b>e</b>vet
Verb – PA'AL<br>AP-ms<br>to lie, to lie down	Verb – PA'AL<br>שׁוֹכֵב<br>shoch<b>e</b>v
Verb – PA'AL<br>AP-fs<br>to lie, to lie down	Verb – PA'AL<br>שׁוֹכֶבֶת<br>shoch<b>e</b>vet
Verb – PA'AL<br>AP-mp<br>to lie, to lie down	Verb – PA'AL<br>שׁוֹכְבִים<br>shochv<b>i</b>m
Verb – PA'AL<br>AP-fp<br>to lie, to lie down	Verb – PA'AL<br>שׁוֹכְבוֹת<br>shochv<b>o</b>t
Verb – PA'AL<br>PERF-1s<br>to lie, to lie down	Verb – PA'AL<br>שָׁכַבְתִּי<br>shach<b>a</b>vti
Verb – PA'AL<br>PERF-1p<br>to lie, to lie down	Verb – PA'AL<br>שָׁכַבְנוּ<br>shach<b>a</b>vnu
Verb – PA'AL<br>PERF-2ms<br>to lie, to lie down	Verb – PA'AL<br>שָׁכַבְתָּ<br>shach<b>a</b>vta
Verb – PA'AL<br>PERF-2fs<br>to lie, to lie down	Verb – PA'AL<br>שָׁכַבְתְּ<br>shach<b>a</b>vt
Verb – PA'AL<br>PERF-2mp<br>to lie, to lie down	Verb – PA'AL<br>שְׁכַבְתֶּם<br>shchavt<b>e</b>m
Verb – PA'AL<br>PERF-2fp<br>to lie, to lie down	Verb – PA'AL<br>שְׁכַבְתֶּן<br>shchavt<b>e</b>n
Verb – PA'AL<br>PERF-3ms<br>to lie, to lie down	Verb – PA'AL<br>שָׁכַב<br>shach<b>a</b>v
Verb – PA'AL<br>PERF-3fs<br>to lie, to lie down	Verb – PA'AL<br>שָׁכְבָה<br>shachv<b>a</b>
Verb – PA'AL<br>PERF-3p<br>to lie, to lie down	Verb – PA'AL<br>שָׁכְבוּ<br>shachv<b>u</b>
Verb – PA'AL<br>IMPF-1s<br>to lie, to lie down	Verb – PA'AL<br>אֶשְׁכַּב<br>eshk<b>a</b>v
Verb – PA'AL<br>IMPF-1p<br>to lie, to lie down	Verb – PA'AL<br>נִשְׁכַּב<br>nishk<b>a</b>v
Verb – PA'AL<br>IMPF-2ms<br>to lie, to lie down	Verb – PA'AL<br>תִּשְׁכַּב<br>tishk<b>a</b>v
Verb – PA'AL<br>IMPF-2fs<br>to lie, to lie down	Verb – PA'AL<br>תִּשְׁכְּבִי<br>tishkev<b>i</b>
Verb – PA'AL<br>IMPF-2mp<br>to lie, to lie down	Verb – PA'AL<br>תִּשְׁכְּבוּ<br>tishkev<b>u</b>
Verb – PA'AL<br>IMPF-2fp<br>to lie, to lie down	Verb – PA'AL<br>תִּשְׁכַּבְנָה<br>tishk<b>a</b>vna
Verb – PA'AL<br>IMPF-3ms<br>to lie, to lie down	Verb – PA'AL<br>יִשְׁכַּב<br>yishk<b>a</b>v
Verb – PA'AL<br>IMPF-3fs<br>to lie, to lie down	Verb – PA'AL<br>תִּשְׁכַּב<br>tishk<b>a</b>v
Verb – PA'AL<br>IMPF-3mp<br>to lie, to lie down	Verb – PA'AL<br>יִשְׁכְּבוּ<br>yishkev<b>u</b>
Verb – PA'AL<br>IMPF-3fp<br>to lie, to lie down	Verb – PA'AL<br>תִּשְׁכַּבְנָה<br>tishk<b>a</b>vna
Verb – PA'AL<br>IMP-2ms<br>to lie, to lie down	Verb – PA'AL<br>שְׁכַב!‏<br>shch<b>a</b>v!
Verb – PA'AL<br>IMP-2fs<br>to lie, to lie down	Verb – PA'AL<br>שִׁכְבִי!‏<br>shichv<b>i</b>!
Verb – PA'AL<br>IMP-2mp<br>to lie, to lie down	Verb – PA'AL<br>שִׁכְבוּ!‏<br>shichv<b>u</b>!
Verb – PA'AL<br>IMP-2fp<br>to lie, to lie down	Verb – PA'AL<br>שְׁכַבְנָה!‏<br>shch<b>a</b>vna!
Verb – PA'AL<br>INF-L<br>to lie, to lie down	Verb – PA'AL<br>לִשְׁכַּב<br>lishk<b>a</b>v
