Verb – PA'AL<br>AP-ms<br>to write	Verb – PA'AL<br>כּוֹתֵב<br>kot<b>e</b>v
Verb – PA'AL<br>IMP-2ms<br>to do, to make, to create	Verb – PA'AL<br>עֲשֵׂה!‏<br>as<b>e</b>!
Verb – PA'AL<br>IMP-2fs<br>to do, to make, to create	Verb – PA'AL<br>עֲשִׂי!‏<br>as<b>i</b>!
Verb – PA'AL<br>IMP-2mp<br>to do, to make, to create	Verb – PA'AL<br>עֲשׂוּ!‏<br>as<b>u</b>!
Verb – PA'AL<br>IMP-2fp<br>to do, to make, to create	Verb – PA'AL<br>עֲשֶׂינָה!‏<br>as<b>e</b>na!
Verb – PA'AL<br>INF-L<br>to do, to make, to create	Verb – PA'AL<br>לַעֲשׂוֹת<br>la'as<b>o</b>t
Verb – PA'AL<br>AP-ms<br>to live (in a specific location), to reside	Verb – PA'AL<br>גָּר<br>g<b>a</b>r
Verb – PA'AL<br>AP-fs<br>to live (in a specific location), to reside	Verb – PA'AL<br>גָּרָה<br>gar<b>a</b>
Verb – PA'AL<br>AP-mp<br>to live (in a specific location), to reside	Verb – PA'AL<br>גָּרִים<br>gar<b>i</b>m
Verb – PA'AL<br>AP-fp<br>to live (in a specific location), to reside	Verb – PA'AL<br>גָּרוֹת<br>gar<b>o</b>t
Verb – PA'AL<br>PERF-1s<br>to live (in a specific location), to reside	Verb – PA'AL<br>גַּרְתִּי<br>g<b>a</b>rti
Verb – PA'AL<br>PERF-1p<br>to live (in a specific location), to reside	Verb – PA'AL<br>גַּרְנוּ<br>g<b>a</b>rnu
Verb – PA'AL<br>PERF-2ms<br>to live (in a specific location), to reside	Verb – PA'AL<br>גַּרְתָּ<br>g<b>a</b>rta
Verb – PA'AL<br>PERF-2fs<br>to live (in a specific location), to reside	Verb – PA'AL<br>גַּרְתְּ<br>g<b>a</b>rt
Verb – PA'AL<br>PERF-2mp<br>to live (in a specific location), to reside	Verb – PA'AL<br>גַּרְתֶּם<br>gart<b>e</b>m
Verb – PA'AL<br>PERF-2fp<br>to live (in a specific location), to reside	Verb – PA'AL<br>גַּרְתֶּן<br>gart<b>e</b>n
Verb – PA'AL<br>PERF-3ms<br>to live (in a specific location), to reside	Verb – PA'AL<br>גָּר<br>g<b>a</b>r
Verb – PA'AL<br>PERF-3fs<br>to live (in a specific location), to reside	Verb – PA'AL<br>גָּרָה<br>g<b>a</b>ra
Verb – PA'AL<br>PERF-3p<br>to live (in a specific location), to reside	Verb – PA'AL<br>גָּרוּ<br>g<b>a</b>ru
Verb – PA'AL<br>IMPF-1s<br>to live (in a specific location), to reside	Verb – PA'AL<br>אָגוּר<br>ag<b>u</b>r
Verb – PA'AL<br>IMPF-1p<br>to live (in a specific location), to reside	Verb – PA'AL<br>נָגוּר<br>nag<b>u</b>r
Verb – PA'AL<br>IMPF-2ms<br>to live (in a specific location), to reside	Verb – PA'AL<br>תָּגוּר<br>tag<b>u</b>r
Verb – PA'AL<br>IMPF-2fs<br>to live (in a specific location), to reside	Verb – PA'AL<br>תָּגוּרִי<br>tag<b>u</b>ri
Verb – PA'AL<br>IMPF-2mp<br>to live (in a specific location), to reside	Verb – PA'AL<br>תָּגוּרוּ<br>tag<b>u</b>ru
Verb – PA'AL<br>IMPF-2fp<br>to live (in a specific location), to reside	Verb – PA'AL<br>תָּגֹרְנָה ~ תגורנה<br>tag<b>o</b>rnaתְּגוּרֶינָה<br>tegur<b>e</b>na
Verb – PA'AL<br>IMPF-3ms<br>to live (in a specific location), to reside	Verb – PA'AL<br>יָגוּר<br>yag<b>u</b>r
Verb – PA'AL<br>IMPF-3fs<br>to live (in a specific location), to reside	Verb – PA'AL<br>תָּגוּר<br>tag<b>u</b>r
Verb – PA'AL<br>IMPF-3mp<br>to live (in a specific location), to reside	Verb – PA'AL<br>יָגוּרוּ<br>yag<b>u</b>ru
Verb – PA'AL<br>IMPF-3fp<br>to live (in a specific location), to reside	Verb – PA'AL<br>תָּגֹרְנָה ~ תגורנה<br>tag<b>o</b>rnaתְּגוּרֶינָה<br>tegur<b>e</b>na
Verb – PA'AL<br>IMP-2ms<br>to live (in a specific location), to reside	Verb – PA'AL<br>גּוּר!‏<br>g<b>u</b>r!
Verb – PA'AL<br>IMP-2fs<br>to live (in a specific location), to reside	Verb – PA'AL<br>גּוּרִי!‏<br>g<b>u</b>ri!
Verb – PA'AL<br>IMP-2mp<br>to live (in a specific location), to reside	Verb – PA'AL<br>גּוּרוּ!‏<br>g<b>u</b>ru!
Verb – PA'AL<br>IMP-2fp<br>to live (in a specific location), to reside	Verb – PA'AL<br>גֹּרְנָה!‏ ~ גורנה!‏<br>g<b>o</b>rna!גּוּרֶינָה!‏<br>gur<b>e</b>na!
Verb – PA'AL<br>INF-L<br>to live (in a specific location), to reside	Verb – PA'AL<br>לָגוּר<br>lag<b>u</b>r
Verb – PA'AL<br>AP-ms<br>to sing	Verb – PA'AL<br>שָׁר<br>sh<b>a</b>r
Verb – PA'AL<br>AP-fs<br>to sing	Verb – PA'AL<br>שָׁרָה<br>shar<b>a</b>
Verb – PA'AL<br>AP-mp<br>to sing	Verb – PA'AL<br>שָׁרִים<br>shar<b>i</b>m
Verb – PA'AL<br>AP-fp<br>to sing	Verb – PA'AL<br>שָׁרוֹת<br>shar<b>o</b>t
Verb – PA'AL<br>PERF-1s<br>to sing	Verb – PA'AL<br>שַׁרְתִּי<br>sh<b>a</b>rti
Verb – PA'AL<br>PERF-1p<br>to sing	Verb – PA'AL<br>שַׁרְנוּ<br>sh<b>a</b>rnu
Verb – PA'AL<br>PERF-2ms<br>to sing	Verb – PA'AL<br>שַׁרְתָּ<br>sh<b>a</b>rta
Verb – PA'AL<br>PERF-2fs<br>to sing	Verb – PA'AL<br>שַׁרְתְּ<br>sh<b>a</b>rt
Verb – PA'AL<br>PERF-2mp<br>to sing	Verb – PA'AL<br>שַׁרְתֶּם<br>shart<b>e</b>m
Verb – PA'AL<br>PERF-2fp<br>to sing	Verb – PA'AL<br>שַׁרְתֶּן<br>shart<b>e</b>n
Verb – PA'AL<br>PERF-3ms<br>to sing	Verb – PA'AL<br>שָׁר<br>sh<b>a</b>r
Verb – PA'AL<br>PERF-3fs<br>to sing	Verb – PA'AL<br>שָׁרָה<br>sh<b>a</b>ra
Verb – PA'AL<br>PERF-3p<br>to sing	Verb – PA'AL<br>שָׁרוּ<br>sh<b>a</b>ru
Verb – PA'AL<br>IMPF-1s<br>to sing	Verb – PA'AL<br>אָשִׁיר<br>ash<b>i</b>r
Verb – PA'AL<br>IMPF-1p<br>to sing	Verb – PA'AL<br>נָשִׁיר<br>nash<b>i</b>r
Verb – PA'AL<br>IMPF-2ms<br>to sing	Verb – PA'AL<br>תָּשִׁיר<br>tash<b>i</b>r
Verb – PA'AL<br>IMPF-2fs<br>to sing	Verb – PA'AL<br>תָּשִׁירִי<br>tash<b>i</b>ri
Verb – PA'AL<br>IMPF-2mp<br>to sing	Verb – PA'AL<br>תָּשִׁירוּ<br>tash<b>i</b>ru
Verb – PA'AL<br>IMPF-2fp<br>to sing	Verb – PA'AL<br>תָּשֵׁרְנָה<br>tash<b>e</b>rnaתְּשִׁירֶינָה<br>teshir<b>e</b>na
Verb – PA'AL<br>IMPF-3ms<br>to sing	Verb – PA'AL<br>יָשִׁיר<br>yash<b>i</b>r
Verb – PA'AL<br>IMPF-3fs<br>to sing	Verb – PA'AL<br>תָּשִׁיר<br>tash<b>i</b>r
Verb – PA'AL<br>IMPF-3mp<br>to sing	Verb – PA'AL<br>יָשִׁירוּ<br>yash<b>i</b>ru
Verb – PA'AL<br>IMPF-3fp<br>to sing	Verb – PA'AL<br>תָּשֵׁרְנָה<br>tash<b>e</b>rnaתְּשִׁירֶינָה<br>teshir<b>e</b>na
Verb – PA'AL<br>IMP-2ms<br>to sing	Verb – PA'AL<br>שִׁיר!‏<br>sh<b>i</b>r!
Verb – PA'AL<br>IMP-2fs<br>to sing	Verb – PA'AL<br>שִׁירִי!‏<br>sh<b>i</b>ri!
Verb – PA'AL<br>IMP-2mp<br>to sing	Verb – PA'AL<br>שִׁירוּ!‏<br>sh<b>i</b>ru!
Verb – PA'AL<br>IMP-2fp<br>to sing	Verb – PA'AL<br>שֵׁרְנָה!‏<br>sh<b>e</b>rna!שִׁירֶינָה!‏<br>shir<b>e</b>na!
Verb – PA'AL<br>INF-L<br>to sing	Verb – PA'AL<br>לָשִׁיר<br>lash<b>i</b>r
Verb – PA'AL<br>AP-ms<br>to go	Verb – PA'AL<br>הוֹלֵךְ<br>hol<b>e</b>ch
Verb – PA'AL<br>AP-fs<br>to go	Verb – PA'AL<br>הוֹלֶכֶת<br>hol<b>e</b>chet
Verb – PA'AL<br>AP-mp<br>to go	Verb – PA'AL<br>הוֹלְכִים<br>holch<b>i</b>m
Verb – PA'AL<br>AP-fp<br>to go	Verb – PA'AL<br>הוֹלְכוֹת<br>holch<b>o</b>t
Verb – PA'AL<br>PERF-1s<br>to go	Verb – PA'AL<br>הָלַכְתִּי<br>hal<b>a</b>chti
Verb – PA'AL<br>PERF-1p<br>to go	Verb – PA'AL<br>הָלַכְנוּ<br>hal<b>a</b>chnu
Verb – PA'AL<br>PERF-2ms<br>to go	Verb – PA'AL<br>הָלַכְתָּ<br>hal<b>a</b>chta
Verb – PA'AL<br>PERF-2fs<br>to go	Verb – PA'AL<br>הָלַכְתְּ<br>hal<b>a</b>cht
Verb – PA'AL<br>PERF-2mp<br>to go	Verb – PA'AL<br>הֲלַכְתֶּם<br>halacht<b>e</b>m
Verb – PA'AL<br>PERF-2fp<br>to go	Verb – PA'AL<br>הֲלַכְתֶּן<br>halacht<b>e</b>n
Verb – PA'AL<br>PERF-3ms<br>to go	Verb – PA'AL<br>הָלַךְ<br>hal<b>a</b>ch
Verb – PA'AL<br>PERF-3fs<br>to go	Verb – PA'AL<br>הָלְכָה<br>halch<b>a</b>
Verb – PA'AL<br>PERF-3p<br>to go	Verb – PA'AL<br>הָלְכוּ<br>halch<b>u</b>
Verb – PA'AL<br>IMPF-1s<br>to go	Verb – PA'AL<br>אֵלֵךְ<br>el<b>e</b>ch
Verb – PA'AL<br>IMPF-1p<br>to go	Verb – PA'AL<br>נֵלֵךְ<br>nel<b>e</b>ch
Verb – PA'AL<br>IMPF-2ms<br>to go	Verb – PA'AL<br>תֵּלֵךְ<br>tel<b>e</b>ch
Verb – PA'AL<br>IMPF-2fs<br>to go	Verb – PA'AL<br>תֵּלְכִי<br>telch<b>i</b>
Verb – PA'AL<br>IMPF-2mp<br>to go	Verb – PA'AL<br>תֵּלְכוּ<br>telch<b>u</b>
Verb – PA'AL<br>IMPF-2fp<br>to go	Verb – PA'AL<br>תֵּלַכְנָה<br>tel<b>a</b>chnaתֵּלֵכְנָה<br>tel<b>e</b>chna
Verb – PA'AL<br>IMPF-3ms<br>to go	Verb – PA'AL<br>יֵלֵךְ<br>yel<b>e</b>ch
Verb – PA'AL<br>IMPF-3fs<br>to go	Verb – PA'AL<br>תֵּלֵךְ<br>tel<b>e</b>ch
Verb – PA'AL<br>IMPF-3mp<br>to go	Verb – PA'AL<br>יֵלְכוּ<br>yelch<b>u</b>
Verb – PA'AL<br>IMPF-3fp<br>to go	Verb – PA'AL<br>תֵּלַכְנָה<br>tel<b>a</b>chnaתֵּלֵכְנָה<br>tel<b>e</b>chna
Verb – PA'AL<br>IMP-2ms<br>to go	Verb – PA'AL<br>לֵךְ!‏<br>l<b>e</b>ch!
Verb – PA'AL<br>IMP-2fs<br>to go	Verb – PA'AL<br>לְכִי!‏<br>lech<b>i</b>!
Verb – PA'AL<br>IMP-2mp<br>to go	Verb – PA'AL<br>לְכוּ!‏<br>lech<b>u</b>!
Verb – PA'AL<br>IMP-2fp<br>to go	Verb – PA'AL<br>לֵכְנָה!‏<br>l<b>e</b>chna!
Verb – PA'AL<br>INF-L<br>to go	Verb – PA'AL<br>לָלֶכֶת<br>lal<b>e</b>chet
Verb – PA'AL<br>AP-ms<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>עוֹמֵד<br>om<b>e</b>d
Verb – PA'AL<br>AP-fs<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>עוֹמֶדֶת<br>om<b>e</b>det
Verb – PA'AL<br>AP-mp<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>עוֹמְדִים<br>omd<b>i</b>m
Verb – PA'AL<br>AP-fp<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>עוֹמְדוֹת<br>omd<b>o</b>t
Verb – PA'AL<br>PERF-1s<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>עָמַדְתִּי<br>am<b>a</b>deti
Verb – PA'AL<br>PERF-1p<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>עָמַדְנוּ<br>am<b>a</b>dnu
Verb – PA'AL<br>PERF-2ms<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>עָמַדְתָּ<br>am<b>a</b>deta
Verb – PA'AL<br>PERF-2fs<br>to stand; to stop, to stand still; to be about to, to be going to	Verb – PA'AL<br>עָמַדְתְּ<br>am<b>a</b>det
